
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.40
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        114.82
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            26.110  ,   Floor Sealer                   ,          1.01
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2B       , Floor 02 Area B                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         80.08
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         79.12
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         79.12
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          1.52
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        139.33
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            26.110  ,   Floor Sealer                   ,          1.17
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL2C       , Floor 02 Area C                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3A       , Floor 03 Area A                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         98.75
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3A       , Floor 03 Area A                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         95.38
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3A       , Floor 03 Area A                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         95.38
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3A       , Floor 03 Area A                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.73
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3A       , Floor 03 Area A                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         10.03
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3A       , Floor 03 Area A                        ,            26.110  ,   Floor Sealer                   ,          1.57
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3A       , Floor 03 Area A                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         27.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3B       , Floor 03 Area B                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,        115.38
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3B       , Floor 03 Area B                        ,            21.120  ,   Walls - 2nd Coat Finish        ,        113.67
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3B       , Floor 03 Area B                        ,            21.130  ,   Walls - 3rd Coat Finish        ,        113.67
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3B       , Floor 03 Area B                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          3.41

NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3B       , Floor 03 Area B                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         81.85
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3B       , Floor 03 Area B                        ,            26.110  ,   Floor Sealer                   ,          5.69
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3B       , Floor 03 Area B                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         27.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL3C       , Floor 03 Area C                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        145.48
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4A       , Floor 04 Area A                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         92.95
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4A       , Floor 04 Area A                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         91.75
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4A       , Floor 04 Area A                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         91.75
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4A       , Floor 04 Area A                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         33.79
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4A       , Floor 04 Area A                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          5.97
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4A       , Floor 04 Area A                        ,            26.110  ,   Floor Sealer                   ,          1.27
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4A       , Floor 04 Area A                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         19.00
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4B       , Floor 04 Area B                        ,            20.110  ,   Walls/DW Ceiling - Prime       ,         73.32
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4B       , Floor 04 Area B                        ,            21.120  ,   Walls - 2nd Coat Finish        ,         63.63
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4B       , Floor 04 Area B                        ,            21.130  ,   Walls - 3rd Coat Finish        ,         63.63
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4B       , Floor 04 Area B                        ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         19.38
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4B       , Floor 04 Area B                        ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          4.17
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4B       , Floor 04 Area B                        ,            26.110  ,   Floor Sealer                   ,           .76
NL:      089.20.3  ,  Banneker High School                               ,01, =    , 01, = ,   FL4B       , Floor 04 Area B                        ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         19.00
