NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 04     , East Floor 04                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 04     , East Floor 04                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 04     , East Floor 04                          ,            60.200  ,   Sizing                         ,          4.53
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         38.55
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         39.65
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         36.21
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.40
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         62.64
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 05     , East Floor 05                          ,            60.200  ,   Sizing                         ,          4.48
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.49
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         40.87
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.60
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         11.08
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         67.05
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 06     , East Floor 06                          ,            60.200  ,   Sizing                         ,          4.51
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         45.32
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 07     , East Floor 07                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.37
