NL:      054.21.3  ,  DFAC  Bldg #404                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      054.21.3  ,  DFAC  Bldg #404                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      054.21.3  ,  DFAC  Bldg #404                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      054.21.3  ,  DFAC  Bldg #404                                    ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         32.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        124.53
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        119.14
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        119.14
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.140  ,   Walls - 4th Coat Finish        ,        119.14
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         10.79
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         10.16
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         93.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.120  ,   Doors Only - 1st/2nd Coat      ,         53.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         42.13
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         41.02
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         41.02
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.140  ,   Walls - 4th Coat Finish        ,         57.02

NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          2.73
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         29.28
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            26.110  ,   Floor Sealer                   ,           .36
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         18.00
NL:      055.19.1  ,  Kaiser Permanente Ashburn                          ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.120  ,   Doors Only - 1st/2nd Coat      ,          7.00
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,          5.48
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   BA01       , Lower Level B                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         55.60
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   BA01       , Lower Level B                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         41.77
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   BA01       , Lower Level B                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         41.77
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   BA01       , Lower Level B                          ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         27.67
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   BA01       , Lower Level B                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         17.86
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   BA01       , Lower Level B                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          9.00
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   BA01       , Lower Level B                          ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         18.50
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   EX01       , Exterior                               ,            29.900  ,   Lintels                        ,         33.00
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.200  ,   Cornice/Rake Boards/Soffits    ,          9.64
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.300  ,   Steel Railings                 ,         21.30
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   EX01       , Exterior                               ,            40.400  ,   Exterior Steel                 ,         47.47
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.15
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         50.03
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         50.03
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         48.48
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          2.18
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          3.00
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL01       , Floor 01                               ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         45.00
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         57.76
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.76
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.76
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         52.01
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         20.96
NL:      055.21.1  ,  Langley School                                     ,01, =    , 01, = ,   FL02       , Floor 02                               ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         29.00
