
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   LL01       , Lower Level                            ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         57.67
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MEZZ       , Mezzadine                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         32.26
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MEZZ       , Mezzadine                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         32.26
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MEZZ       , Mezzadine                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         32.26
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MEZZ       , Mezzadine                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         44.35
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MEZZ       , Mezzadine                              ,            26.110  ,   Floor Sealer                   ,          1.76
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MEZZ       , Mezzadine                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          9.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MI01       , Misc                                   ,            50.500  ,   AESS Steel                     ,         80.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MI01       , Misc                                   ,            50.700  ,   Windows                        ,        265.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   MI01       , Misc                                   ,            50.800  ,   Stair Metal                    ,        320.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST01       , Stairs 1                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST01       , Stairs 1                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST01       , Stairs 1                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST01       , Stairs 1                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST01       , Stairs 1                               ,            50.800  ,   Stair Metal                    ,         64.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST02       , Stairs 2                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST02       , Stairs 2                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST02       , Stairs 2                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST02       , Stairs 2                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         18.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST02       , Stairs 2                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         64.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST03       , Stairs 3                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         11.33

NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST03       , Stairs 3                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST03       , Stairs 3                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST03       , Stairs 3                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         18.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST03       , Stairs 3                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         64.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST04       , Stairs 4                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST04       , Stairs 4                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST04       , Stairs 4                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         11.33
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST04       , Stairs 4                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         18.00
NL:      040.20.3  ,  Eaton Elementary School                            ,01, =    , 01, = ,   ST04       , Stairs 4                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         64.00
