
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL1B       , Floor 01 B                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         71.37
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL1B       , Floor 01 B                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         99.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL1B       , Floor 01 B                             ,            34.130  ,   Trim - 3rd Coat Finish         ,         16.80
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL2B       , Floor 02 B                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         81.69
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL2B       , Floor 02 B                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         73.44
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL2B       , Floor 02 B                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         73.44
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL2B       , Floor 02 B                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         81.87
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL2B       , Floor 02 B                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        105.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL2B       , Floor 02 B                             ,            34.130  ,   Trim - 3rd Coat Finish         ,         16.80
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL3B       , Floor 03 B                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         81.36
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL3B       , Floor 03 B                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         73.67
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL3B       , Floor 03 B                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         73.67
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL3B       , Floor 03 B                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         79.78
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL3B       , Floor 03 B                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        121.00
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL3B       , Floor 03 B                             ,            34.130  ,   Trim - 3rd Coat Finish         ,         21.84
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL4B       , Floor 04 B                             ,            20.110  ,   Walls/DW Ceiling - Prime       ,         69.90
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL4B       , Floor 04 B                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         63.24
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL4B       , Floor 04 B                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         63.24
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL4B       , Floor 04 B                             ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         68.71
NL:      059.19.3  ,  Providence Place                                   ,01, =    , 01, = ,   FL4B       , Floor 04 B                             ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        106.00
