NL:031.21.1,,01,=,01,=,CO01,Change,17.001,,75.00,
NL:055.19.1,,01,=,01,=,CO 019,Change Order 019,17.019,,32.00,
NL:055.19.1,,01,=,01,=,TI01,Ticket work,20.300,Ticket Work,3.00,
NL:059.19.3,,01,=,01,=,CO.12,CO.12,17.100,Change Orders - ALL,4.00,
NL:059.19.3,,01,=,01,=,CO.15,CO.15,17.100,Change Orders - ALL,27.00,
NL059.19.3,,01,=,01,=,CO.016,CO.016,17.100,Change Orders - ALL,4.00,
NL024.19.3,,01,=,01,=,CO020,Change Order 020,17.020,,8.00,
