
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A18        , STAIR-D                                ,            40.300  ,   Steel Railings                 ,           .57
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   A18        , STAIR-D                                ,            50.801  ,   Stair metal/Prep/Prime/Finish  ,         16.67
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      052.23.3  ,  Benning Road (1603-1625)                           ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,              ,                                        ,            80.120  ,   PWT Only Punchlilst            ,         50.00
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         15.67
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         13.95
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         13.13
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          3.30
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   9th        , 9th Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          3.65
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      059.23.1  ,  DCHA 9th Fl Day 2 Work                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
