
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST01       , Stair01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST01       , Stair01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST01       , Stair01                                ,            50.800  ,   Stair Metal                    ,         46.15
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST02       , Stair02                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST02       , Stair02                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST02       , Stair02                                ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST02       , Stair02                                ,            50.800  ,   Stair Metal                    ,         46.15
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST03       , Stair03                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST03       , Stair03                                ,            21.120  ,   Walls - 2nd Coat Finish        ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST03       , Stair03                                ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.27
NL:      057.19.3  ,  FEMA B716                                          ,01, =    , 01, = ,   ST03       , Stair03                                ,            50.800  ,   Stair Metal                    ,         46.15
