
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.51
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.07
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            26.110  ,   Floor Sealer                   ,          6.24
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.67
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.33
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.77
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.51
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.07
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            26.110  ,   Floor Sealer                   ,          6.24
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.67
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         50.33
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         50.66
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         50.66
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          9.51
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         18.07
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            26.110  ,   Floor Sealer                   ,          4.03
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         14.67
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   Misc       , Miscelanious                           ,            50.900  ,   Elevator Door & Frame          ,        200.00
NL:      087.21.1  ,  Reunion Square Office (No Wage                     ,01, =    , 01, = ,   STRS       , Stairs                                 ,            50.800  ,   Stair Metal                    ,        288.00
