NL:028.20.3,,01,=,01,=,TI01,Ticket Work,95.110,General Ticket Work,32.00
NL:069.21.1,,01,=,01,=,CO-001,Change Order 001,17.100,Change Orders - ALL,216.00
NL:069.21.1,,01,=,01,=,CO-002,Change Order 002,17.100,Change Orders - ALL,8.00
NL:081.20.1,,01,=,01,=,CO-01,Change Order 01,17.001,,8.00
