
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.73
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.73
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL04       , Floor 04                               ,            60.200  ,   Sizing                         ,         12.18
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          8.69
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.45
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.45
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         21.71
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.70
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.85
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.85
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL05       , Floor 05                               ,            60.200  ,   Sizing                         ,         20.30
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.17
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.62
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.62
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         10.64
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.81
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.81
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL06       , Floor 06                               ,            60.200  ,   Sizing                         ,         10.72
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.22

NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.46
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.46
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          7.65
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.83
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.83
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL07       , Floor 07                               ,            60.200  ,   Sizing                         ,          7.45
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.30
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL08       , Floor 08                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.48
