
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL05       , Floor 05                               ,            80.800  ,   Contingency - Original         ,        204.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL06       , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        190.90
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        265.33
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         96.86
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL06       , Floor 06                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        420.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL06       , Floor 06                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL06       , Floor 06                               ,            80.800  ,   Contingency - Original         ,        192.70
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL07       , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        190.90
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        265.33
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL07       , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.31
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL07       , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         96.86
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL07       , Floor 07                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        420.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL07       , Floor 07                               ,            50.900  ,   Elevator Door & Frame          ,          6.00
NL:      051.20.3  ,  Park Southern Renovation                           ,01, =    , 01, = ,   FL07       , Floor 07                               ,            80.800  ,   Contingency - Original         ,        133.70
