
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL01C      , FLOOR C                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         94.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL01P      , Floor PODIUM                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         59.78
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL01P      , Floor PODIUM                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.94
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL01P      , Floor PODIUM                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.94
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL01P      , Floor PODIUM                           ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         64.50
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL01P      , Floor PODIUM                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         40.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02A      , FLOOR A                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.08
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02A      , FLOOR A                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         44.26
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02A      , FLOOR A                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.26
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02A      , FLOOR A                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         74.16
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02A      , FLOOR A                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         30.00
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02B      , FLOOR B                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        195.24
NL:      088.20.3  ,  801 East Mens Shelter                              ,01, =    , 01, = ,   FL02B      , FLOOR B                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         96.06
