
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        273.15
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        300.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          4.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,          3.27
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        391.01
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            34.110  ,   Trim - 1st Coat Prime          ,        112.80
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            50.600  ,   Caulking Windows & Doors       ,         60.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr03      , 3rd Floor                              ,            50.800  ,   Stair Metal                    ,         20.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        334.94
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        294.16
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        273.15
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        300.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          4.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,          3.27
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        391.01
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            34.110  ,   Trim - 1st Coat Prime          ,        112.80
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            50.600  ,   Caulking Windows & Doors       ,         60.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   Flr04      , 4th Floor                              ,            50.800  ,   Stair Metal                    ,         20.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            10.999  ,   Other Costs                    ,         50.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         68.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         42.11
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         40.00
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            24.110  ,   CMU Walls - Blockfiller        ,         56.76
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         46.67

NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         38.18
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         16.77
NL:      014.23.5  ,  Terrace Manor Apts Ph 2                            ,01, =    , 01, = ,   P1         , Garage Lvl 1                           ,            50.800  ,   Stair Metal                    ,         20.00
