
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL05       , Floor 05                               ,            26.110  ,   Floor Sealer                   ,          1.54
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL05       , Floor 05                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.13
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL05       , Floor 05                               ,            34.110  ,   Trim - 1st Coat Prime          ,          3.20
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL05       , Floor 05                               ,            34.120  ,   Trim - 2nd Coat Finish         ,          3.20
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL05       , Floor 05                               ,            60.200  ,   Sizing                         ,         25.17
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         85.96
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         72.67
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         76.65
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         28.19
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         12.78
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            26.110  ,   Floor Sealer                   ,           .75
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.13
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            30.110  ,   Special Coating - Primer       ,          5.00
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            30.130  ,   Special Coating - Finish Coat  ,          5.00
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            34.110  ,   Trim - 1st Coat Prime          ,          3.40
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            34.120  ,   Trim - 2nd Coat Finish         ,          3.40
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   FL06       , Floor 06                               ,            60.200  ,   Sizing                         ,         18.73
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   Stair      , Stairs                                 ,            20.110  ,   Walls/DW Ceiling - Prime       ,         10.42
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   Stair      , Stairs                                 ,            21.120  ,   Walls - 2nd Coat Finish        ,         19.22

NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   Stair      , Stairs                                 ,            21.130  ,   Walls - 3rd Coat Finish        ,         20.27
NL:      046.22.3  ,  Whitman Walker Health St. E                        ,01, =    , 01, = ,   Stair      , Stairs                                 ,            50.800  ,   Stair Metal                    ,        166.00
