
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr04      , 3rd Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        149.90
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr04      , 3rd Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        154.47
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr04      , 3rd Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        139.32
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr04      , 3rd Floor                              ,            29.600  ,   Interior Windows - Caulking    ,         50.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr04      , 3rd Floor                              ,            34.110  ,   Trim - 1st Coat Prime          ,         66.01
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr04      , 3rd Floor                              ,            50.800  ,   Stair Metal                    ,         20.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        180.86
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        161.14
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        149.63
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        154.49
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        183.45
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            29.600  ,   Interior Windows - Caulking    ,         50.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            34.110  ,   Trim - 1st Coat Prime          ,         66.34
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr05      , 5th Floor                              ,            50.800  ,   Stair Metal                    ,         20.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,        180.86
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            21.120  ,   Walls - 2nd Coat Finish        ,        161.14
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            21.130  ,   Walls - 3rd Coat Finish        ,        149.63
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        154.49
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        183.45
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            29.600  ,   Interior Windows - Caulking    ,         50.00
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            34.110  ,   Trim - 1st Coat Prime          ,         66.34
NL:      051.22.3  ,  Faircliff Plaza East                               ,01, =    , 01, = ,   Flr06      , 6th Floor                              ,            50.800  ,   Stair Metal                    ,         20.00

