
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2220      , Building 2220                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2220      , Building 2220                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2220      , Building 2220                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2220      , Building 2220                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2224      , Building 2224                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         28.93
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2224      , Building 2224                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         28.93
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2224      , Building 2224                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         28.93
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2224      , Building 2224                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         22.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2224      , Building 2224                          ,            34.110  ,   Trim - 1st Coat Prime          ,         21.24
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2224      , Building 2224                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2225      , Building 2225                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2225      , Building 2225                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2225      , Building 2225                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2225      , Building 2225                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2230      , Building 2230                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         10.14
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2230      , Building 2230                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         10.14
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2230      , Building 2230                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         10.14
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2230      , Building 2230                          ,            50.800  ,   Stair Metal                    ,         20.00
