
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   1C         , LVL 1 Area C                           ,            50.800  ,   Stair Metal                    ,         48.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         85.31
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         61.89
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         63.57
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            21.140  ,   Walls - 4th Coat Finish        ,         37.14
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         33.60
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         31.13
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            24.110  ,   CMU Walls - Blockfiller        ,         25.81
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         15.18
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         23.90
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         21.46
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2A         , LVL 2 Area A                           ,            50.800  ,   Stair Metal                    ,        128.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,        195.50
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            21.120  ,   Walls - 2nd Coat Finish        ,        151.43
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            21.130  ,   Walls - 3rd Coat Finish        ,        155.53
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            21.140  ,   Walls - 4th Coat Finish        ,         90.86
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         44.57
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          3.99
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            24.110  ,   CMU Walls - Blockfiller        ,         17.51
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         10.30
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         16.21
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.94
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2B         , LVL 2 Area B                           ,            50.800  ,   Stair Metal                    ,         32.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         88.88
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            21.120  ,   Walls - 2nd Coat Finish        ,         70.69

NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         72.60
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            21.140  ,   Walls - 4th Coat Finish        ,         42.41
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   2C         , LVL 2 Area C                           ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         14.04
