
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        123.81
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 04      , Floor 04                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.56
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        123.81
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 05      , Floor 05                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,        123.81
