
NL:      023.21.3  ,  CMS BOC Phase 1                                    ,01, =    , 01, = ,   CE01       , Cellar                                 ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         44.19
NL:      024.21.1  ,  Q101 Street                                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      024.21.1  ,  Q101 Street                                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      024.21.1  ,  Q101 Street                                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      024.21.1  ,  Q101 Street                                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      025.21.3  ,  Smithsonian MSC-Museum Spt Ctr                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      025.21.3  ,  Smithsonian MSC-Museum Spt Ctr                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      025.21.3  ,  Smithsonian MSC-Museum Spt Ctr                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      025.21.3  ,  Smithsonian MSC-Museum Spt Ctr                     ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,              ,                                        ,            26.110  ,   Floor Sealer                   ,          7.41
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   FL01       , FLOOR 01                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         44.85
NL:      026.21.1  ,  Archbishop Spalding MS Music                       ,01, =    , 01, = ,   FL01       , FLOOR 01                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         43.95
