NL:028.20.3,          ,01,=,01,=,      ,     ,   80.110,       ,48.00
NL:028.20.3,,01,=,01,=,FL01,Floor01,24.110,,6.67
NL:028.20.3,,01,=,01,=,FL01,Floor01,24.120,,3.33
NL:028.20.3,,01,=,01,=,FL01,Floor01,24.130,,3.33
NL:028.20.3,,01,=,01,=,FL01,Floor01,50.200,,71.43
NL: 028.20.3,,01,=,01,=,FL01,Floor01,50.500,,288.33
NL: 028.20.3,,01,=,01,=,FL01,Floor01,50.800,,187.50
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,20.110,,18.50
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,21.120,,17.74
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,21.130,,17.74
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,22.120,,4.07
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,22.125,,310.27
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,26.110,,23.73
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,28.110,,36.00
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,40.400,,24.42
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,50.400,,72.00
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,50.800,,66.67
NL: 029.20.3,,01,=,01,=,FLO1,Floor01,90.200,,134.50
NL: 046.20.1,,01,=,01,=,,,26.110,,158.43
NL: 046.20.1,,01,=,01,=,,,80.110,,40.00
NL: 046.20.1,,01,=,01,=,EXT,EXT,40.200,,67.40
NL: 046.20.1,,01,=,01,=,EXT,EXT,40.400,,264.50
NL: 046.20.1,,01,=,01,=,EXT,EXT,40.500,,67.18
NL: 046.20.1,,01,=,01,=,EXT,EXT,40.600,,22.00
NL: 046.20.1,,01,=,01,=,EXT,EXT,50.700,,123.20
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,20.110,,142.32
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,21.120,,206.84
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,21.130,,206.84
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,22.125,,870.18
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,24.110,,78.22
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,26.130,,148.80
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,28.110,,268.00
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,50.200,,536.32
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,50.400,,524.00
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,50.800,,222.22
NL: 046.20.1,,01,=,01,=,FLO1,EPOXY,90.200,,666.66
NL: 059.20.1,,01,=,01,=,AD01,ADA UNITS,20.110,,170.15
NL: 059.20.1,,01,=,01,=,AD01,ADA UNITS,21.120,,148.96
NL: 059.20.1,,01,=,01,=,AD01,ADA UNITS,21.130,,147.96
NL: 059.20.1,,01,=,01,=,AD01,ADA UNITS,22.120,,63.57
NL: 059.20.1,,01,=,01,=,AD01,ADA UNITS,28.110,,105.00
NL: 059.20.1,,01,=,01,=,AD01,ADA UNITS,34.110,,21.24
NL: 059.20.1,,01,=,01,=,AD01,ADA UNITS,50.600,,10.00
