
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         14.15
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            26.110  ,   Floor Sealer                   ,          5.40
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         23.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         83.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            30.120  ,   Special Coating - Interm Coat  ,         42.55
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL03       , Floor 03                               ,            30.130  ,   Special Coating - Finish Coat  ,         47.40
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,        112.34
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         90.03
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        135.04
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         45.79
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          3.56
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            26.110  ,   Floor Sealer                   ,          4.35
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         19.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            28.130  ,   Frames Only - 1st/2nd Coat     ,         62.00
NL:      021.20.1  ,  George Mason High School                           ,01, =    , 01, = ,   FL04       , Floor 04                               ,            30.120  ,   Special Coating - Interm Coat  ,         48.12
